Type	Genus	Tube colour	Botanical name	Common name	States	NW	LE	NU	GT	FR	EA	EP	NL	MU	YP	SL	KI	SE	Height (m)	Spread (m)	Rain (mm)	Soil texture	Soil pH	Frost	Flower colour	Flower (time)	License	Attribution link	Attribution Label
Trees and Shrubs	Banksia	G	formosa syn Dryandra formosa	showy dryandra	W														2-4	2-3	650	"Sa, Lo"	ANC	M	O/Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	grandis	bull banksia	W														3-8	3	500	"Sa,Lo"	AN	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	heliantha syn Dryandra quercifolia	oak-leaved dryandra	W														2-4	1.5-3	450	"Sa, Lo, Cl"	ANC	M	Y	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	hookeriana	Hooker's banksia	W														2-3	2-3	500	"Sa,Lo"	AN	R	O	"W,Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	integrifolia	coast banksia	"Q,N,V,T"														8-15	5-8	450	"Sa,Lo,Cl"	ANC	M	Y	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	B	marginata	silver banksia	"SA,N,V,T,Q"					E	E	V	E	T	V	I	I	I	2-8	1-5	500	"Sa,Lo,Cl"	ANC	R	Y	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	media	golden stalk	W														2-4	2-4	350	"Sa,Lo"	ANC	M	Y	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	menziesii	firewood banksia	W														8-12	5-8	400	"Sa,Lo"	AN	M	R/Y	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	menziesii Dwarf form	firewood banksia	WA														2	1.5-2	400	"Sa,Lo"	AN	M	R/Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	nutans	nodding banksia	W														1-2	1-2	500	"Sa, Lo"	AN/C	M	Pk/Br	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	occidentalis	water bush	W														3-7	2-3	600	"Sa, Cl, Lo"	AN/C	M	R	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	B	ornata	desert banksia	"SA,V,"							T		T		I	I	I	1-2	1-2	400	"Sa, Lo"	AN/C	M	Y/B	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	praemorsa	cut leaf banksia	W														2-4	2-3	400	"Sa,Lo,Cl,Li"	ANC	M	"R, Y"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	prionotes	orange banksia	W														6-10	3-5	350	"Sa, Lo, Li"	ANC	R	W/O	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	sceptrum	sceptre banksia	W														2-7	2-5	400	"Sa, Lo"	AN/C	M	Cr/Y	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	serrata	old man banksia	"Q,N,V,T"														2-10	2-7	500	"Sa,Lo"	AN	M	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	speciosa	showy banksia	W														3-5	     3-5	500	"Sa, Lo"	AN/C	M	G	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	spinulosa	hairpin banksia	"Q,N,V"														2-4	2-5	600	"Sa, Lo, Cl"	AN	R	Y	"A, W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Banksia	G	victoriae	woolly orange banksia	W														2-6	2-4	350	Sa	AN/C	M	O	"S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Bauera	G	rubioides 	wiry bauera	"SA,Q,N,V,T"												R		0.5-2	1-3	650	"Lo, Cl"	AN	M	"W, Pk"	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Bauera	G	'Ruby Glow'	B. sessiliflora x rubioides	cultivar														1.5-2	1.5-2	650	"Sa, Lo, Cl"	AN	R	"Pk, W"	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Beaufortia	B	sparsa	swamp bottlebrush	W														2	1-2	600	"Sa, Lo, Cl"	AN/C	M	O/R	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Beyeria 	G	lechenaultii	pale turpentine bush	SA			I	R	T	R	I	R	T	I	I	I	I	1	0.5-1	300	"Sa,Lo,Cl,Li"	ANC	R	Y	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	'Chandleri'	syn. B.Jack McGuires Red	cultivar														1	1-1.5	600	"Sa,Lo"	AN	M	Br/R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	coerulescens ssp coerulescens	blue boronia	"SA,W,N,V"			R			R	I		I	E	I	R	I	0.5	0.5	400	"Sa,Lo"	ANC	R	"B,W"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	denticulata	mauve boronia	W														1-2.5	0.5-1.5	600	"Sa, Lo, Cl"	AN	R	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	filifolia	slender boronia	"SA, V"							V		R		R	I	I	0.5-1	0.5–1	450	"Sa, Lo, Cl"	ANC	M	Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	heterophylla	red boronia	W														1-2	1.5	650	"Sa, Lo, Cl"	AN	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	'Lipstick'	lipstick boronia	cultivar														1-1.5	1.5-2	500	"Lo,Cl"	AN	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	megastigma	brown boronia	W														1	1-1.5	600	"Sa,Lo"	AN	M	Br	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	megastigma Lutea	yellow boronia	cultivar														1	1-1.5	600	"Sa,Lo,"	AN	M	Y	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Boronia 	G	molloyae	tall boronia	W														1-3	1-2	500	"Sa, Lo, Cl"	AN	M	Pk/R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Brachychiton	B	populneus	kurrajong	"Q,N,V"														8-15	6-10	400	"Lo, Cl, Li"	ANC	R	Cr/Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Bursaria 	B	spinosa ssp. lasiophylla	christmas bush	SA									R		R			1-2.5	0.5-1.5	400	"Sa,Lo,Cl"	ANC	R	W	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Bursaria 	B	spinosa ssp. spinosa	christmas bush	all states but W			I	I	I	I	I	I	I	I	I	I	I	2-4	1-3	350	"Lo, Cl, Li"	ANC	R	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Calamphoreus 	G	inflatus		W														0.6-2	0.6-1.5	350	"Sa,Lo,Cl"	ANC	R	Pu	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Baroondah Station'		cultivar														2-5	1-2	550	"Lo, Cl"	ANC	M	Pk	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	brachyandrus	prickly bottlebrush	"SA,N,V"									R					2-3	1-3.5	450	"Sa,Lo,Cl,Li"	ANC	R	R	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Burgundy'	cultivar of C.citrinus	cultivar														2-4	2-4	500	"Sa, Lo, Cl"	ANC	R	Bu	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Captain Cook'	cultivar of C.viminalis	cultivar														2	1-1.5	550	"Sa, Lo. Cl"	ANC	S/M	R	"Sp, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	citrinus	crimson bottlebrush	"Q,N,V"														2-5	2-5	450	"Sa, Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Dawson River Weeper'	cultivar of C.viminalis	cultivar														6-10	2-4	500	"Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Eureka'		cultivar														2-3.5	2-3	500	"Sa,Cl,Lo"	ANC	M	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Hannah Ray'	cultivar of C.viminalis	cultivar														2-4	2-3	550	"Lo, Cl"	ANC	S/M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Harkness'	Gawler hybrid 	cultivar														5-8	3-6	450	"Sa, Lo, Cl, Li"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Hinchinbrook Island'		cultivar														1-2	1.5-2.5	500	"Sa,Lo,Cl"	AN/C	M	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Injune'		cultivar														1-3	1-2	550	"Sa, Lo, Cl"	ANC	M	Pk	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'King's Park Special'		cultivar														3-5	2-4	500	"Sa, Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Lavender Showers'	cultivar of C.citrinus	cultivar														4	2.5-3	500	"Sa,Lo,Cl"	ANC	R	P	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Little John'	cultivar of C.viminalis	cultivar														1-1.5	1-1.5	500	"Sa, Lo, Cl"	ANC	M	R	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Mauve Mist'	cultivar of C.citrinus	cultivar														2-4	2-4	500	"Sa, Lo, Cl"	ANC	R	Pu	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Packer's Selection'		cultivar														1.5-2.5	1-1.5	500	"Sa,Lo,Cl"	ANC	M	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	pallidus	lemon bottlebrush	"Q,N,V,T"														2-5	2-4	550	"Sa, Lo, Cl"	ANC	R	Y	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	phoeniceus	fiery bottlebrush	W														2-4	3-5	450	"Sa, Lo"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	pinifolius		N														0.5-4	2-4	500	"Sa,Lo,Cl"	ANC	R	"G,R"	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	polandii		Q														2-5	1-3	600	"Sa, Lo, Cl"	ANC	M	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Reeve's Pink'	cultivar of C.citrinus	cultivar														2-4	2-4	500	"Sa, Lo, Cl"	ANC	M	Pk	"Sp, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Rose Opal'	cultivar of C.viminalis	cultivar														1.5-2	1-2	500	"Sa,Lo,Cl"	ANC	M	Pk/R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	rugulosus 	scarlet bottlebrush 	SA					I		R	E	R	V	I	I	I	2-4	2-4	400	"Sa,Lo, Cl, Li"	ANC	R	R	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	salignus	white weeping bottlebrush	"Q, N"														5-10	3-5	500	"Sa, Lo, Cl,"	ANC	S/M	Cr	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	sieberi	river bottlebrush	"SA,N,V,T,Q"											I			2-4	2-3	500	"Lo, Cl"	ANC	M	Cr	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Splendens' syn  C.Endeavour	cultivar of C.citrinus	cultivar														2-4	2-3	500	"Sa, Lo, Cl"	ANC	M	R	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Taree Pink'		cultivar														2-4	2-4	500	"Sa,Lo,Cl"	ANC	M	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	teretifolius	Flinders Ranges bottlebrush	SA					I	R		R			R			1-3	2-4	400	"Sa, Lo, Li"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	B	viminalis	weeping bottlebrush	"Q, N"														4-10	2-5	550	"Sa, Lo, Cl, Li"	ANC	S/M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'Western Glory'		cultivar														2-4	2-3	500	"Sa,Lo,Cl"	ANC	R	R	"A,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callistemon	G	'White Anzac'	cultivar of C.citrinus	cultivar														0.5-1.5	0.5-3	500	"Lo,Cl"	ANC	M	W	"Sp,S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	canescens	scrubby cypress pine	"SA,W"							I		T	I	I	I	I	3-6	2-4	400	"Sa, Lo, Li"	ANC	R	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	glaucophylla 	northern cypress pine 	All states but T	R	I	R	I	I	I	R	I	T	I				8-14	4-7	350	"Sa, Lo, Li"	ANC	M	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	gracilis 	southern cypress pine	"SA,N,V"				R	T	T	I	T	T	T	I	I	R	7-14	3-6	350	"Sa,Lo,Cl,Li"	ANC	R	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	oblonga	Tasmanian cypress pine	"N,T"														2-8	1-3	550	"Lo, Cl"	AN	R	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	rhomboidea	Port Jackson pine	"SA,Q,N,V,T"									R		R	I	R	4-7	2-3	400	"Sa, Lo, Cl"	ANC	M	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Callitris 	B	verrucosa	mallee cypress pine	"SA,N,V"	I		I	I	V	R	I		I	V			I	3-5	2-3	250	"Sa, Lo"	ANC	R	I		CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Calothamnus	G	quadrifidus Dwarf form	dwarf netbush	W														1-2	1-3	400	"Sa,Lo,Cl"	ANC	M	R	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Calothamnus	G	quadrifidus var. obtusa	common netbush 	W														2-3	2-3	400	"Sa, Lo, Cl"	ANC	M	R	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Calothamnus	G	quadrifidus (glaucous)	grey netbush	W														2-3	2-3	400	"Sa, Lo, Cl"	ANC	R	R	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Calytrix	G	tetragona	fringe myrtle	all states ex NT				R	I		I	I	I	T	I	I	I	1-2	1-2	400	"Sa,Lo,Cl,Li"	ANC	R	Pk/W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Cassinia	B	laevis	curry bush	"SA,Q, N"				R	I	I	R	I	R	I	I		I	2-4	1-2	350	"Sa, Lo, Cl"	ANC	R	W	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Casuarina	B	cunninghamiana	river oak	"Q, N, NT"														10-15	6-10	550	"Lo, Cl"	ANC	R	I	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Casuarina	B	obesa	swamp oak	"N,V,W"														10-15	5-10	350	"Sa,Lo, Cl, Li"	ANC	R	I	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Casuarina	B	pauper syn C.cristata	"black oak, belah"	"SA,Q,N,V,W"	I	I	I	I	I	I	I	R	I	R				6-15	4-8	200	"Lo, Cl, Li"	ANC	R	R	S	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	axillare	Esperance wax	W														2	2	450	"Sa, Lo, Cl"	AN	M	W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	ciliatum		W														1	1	350	"Sa, Lo"	AN	M	Pk/W	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	ciliatum Weeping Form		W														1	1	350	"Sa,Lo"	AN	M	Pk/W	 Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	'Early Light Pink'	cultivar of C.uncinatum	cultivar														2-3	2-3	350	"Sa, Lo, Cl"	ANC	M	Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	'Lady Stephanie'		cultivar														2-3	2-3	350	"Sa, Lo, Cl"	ANC	M	Pk	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	'Purple Pride'	cultivar of C.uncinatum	cultivar														2-3	2-3	350	"Sa, Lo, Cl"	ANC	M	Pu	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	'Showy Pink'	cultivar of C.uncinatum	cultivar														2-3	2-3	350	"Sa, Lo, Cl"	ANC	M	Pk	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chamelaucium	G	uncinatum alba	Geraldton wax	W														2-3	2-3	350	"Sa, Lo, Cl"	ANC	M	W	"Sp, S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Cheiranthera	G	alternifolia 	finger flower	"SA,Q,N,V"					R		I	V	R	V	I	E	R	0.3	0.3	450	"Sa, Lo, Cl"	AN	M	B	Sp	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chorilaena		Chorilaena																								CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chorilaena	B	quercifolia		W														2-4	2-3	650	"Sa, Lo, Cl"	AN	M	G/Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chorizema	B	cordatum	heart-leafed flame pea	W														0.5-1	0.5-1	550	"Sa, Lo, Cl"	AN	M	"O,R,Y"	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Chrysocephalum  syn. Helichrysum	G	apiculatum Upright Form	common everlasting	All states	I	I		I	I	I	I	I	I	I	I	I	I	0.5	0.2-0.5	400	"Sa, Lo, Cl"	ANC	R	Y	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	alba var. alba	white correa	"N, V, T"														2-2.5	2-2.5	400	"Sa,Lo,Cl,Li"	ANC	M	W	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	alba var.  pannosa		"SA,V"											R		R	0.5-1	0.5-1	450	"Sa, Lo, Cl"	ANC	M	"W, Pk"	"S, A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	backhouseana 	velvet correa	"SA,V,T"			E	EE			E	E		I		I		1-2	2-3	500	"Sa,Lo,Cl"	ANC	M	"G,Cr"	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	baeuerlenii	chef's cap correa	N														1-1.5	1-1.5	600	"Lo, Cl"	AN	M	Cr/G	W	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	calycina var. calycina	SA green correa	SA											V			1.5	1.5	400	"Sa,Lo,Cl"	ANC	R	G	W	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	eburnea		SA											V			1-4	1-3	600	"Sa,Lo,Cl"	AN/C	M	G	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'Fat Fred'	cultivar of C.reflexa	cultivar														0.5-1	1	500	"Sa, Lo, Cl"	ANC	M	R&Y	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	glabra var. turnbullii	rock correa	"SA, N, V"					V	R		R	I	X	R		I	1-1.5	1-1.5	400	"Sa,Lo,Cl,Li"	ANC	R	G/R	"A,W"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'Mannii'	Syn. 'Big Red'	cultivar														1-2	1-2	500	"Sa, Lo, Cl"	ANC	R	R	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'Marian's Marvel'	C.reflexa x backhouseana	cultivar														1-2	1.5-3	400	"Sa,Lo,Cl,Li"	ANC	R	Pk/Cr	F	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'Pink Mist'	cultivar of C.pulchella	cultivar														1	1-2	400	"Sa,Lo,Cl,Li"	ANC	M	Pk	"Sp,S"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	pulchella KI white flowering form		SA												I		1	1	550	"Sa, Lo, Cl"	ANC	M	W	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	pulchella Minor orange flowering form		SA							I			I	I	I		0.5-1	0.5-1	400	"Sa,Lo,Cl,Li"	ANC	R	O	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	pulchella Minor pink flowering form		SA							I			I	I	I		1	1-2	400	"Sa,Lo,Cl,Li"	ANC	R	Pk	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'Redex'	C.reflexa x decumbens	cultivar														1	1	400	"Sa,Lo,Cl,Li"	ANC	R	R&Y	"A,W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	reflexa var. scabridula	native fuchsia	SA									T		I	I	I	0.5-1	1	400	"Sa,Lo,Cl,Li"	ANC	R	"R&Y,Y"	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Correa	G	'White Tips'	cultivar of C.pulchella	cultivar														0.6-1	1	450	"Sa, Lo, Cl"	ANC	M	Pk&W	"W,Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Corymbia  formerly Eucalyptus	B	calophylla	marri	W														13-25	10-13	500	"Sa,Lo,Cl"	AN	M	"Cr,Pk"	"S,A"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
Trees and Shrubs	Corymbia  formerly Eucalyptus	B	citriodora 	lemon-scented gum	Q														15-35	10-20	450	"Lo, Cl"	ANC	S	Cr	"W, Sp"	CC-BY	http://www.environment.sa.gov.au/our-places/State_Flora/Catalogue	State Flora
